Company,Company Country,India Investment Location,Region,Year,Month,Date,Category,Investment ($),Investmen(INR),Description,Link,State Investment/Variety Notes,Partnership
Danfoss India,Denmark,Tamil Nadu,South,2020,November,20-Nov,Industry,"$13,715,450.00","1,000,000,000.00","Danfoss India to invest ₹100 crore in expansion, localisation",https://www.thehindubusinessline.com/companies/danfoss-india-to-invest-100-crore-in-expansion-localisation/article33125965.ece,,
Von Wellx,Germany,Uttar Pradesh,North,2020,November,20-Nov,General Goods,"$41,146,350.00","3,000,000,000.00","German Shoe Brand Von Wellx Moves Out Of China, Begins Operations In Agra",https://www.ndtv.com/india-news/german-shoe-company-shifts-manufacturing-to-agra-from-china-amid-covid-2321742,,
Bharat Biotech,India,Odisha,East,2020,November,20-Nov,R&D/Medical,"$41,146,350.00","3,000,000,000.00",COVAXIN Developer Bharat Biotech To Invest Rs 300 Crore To Set Up Facility In Odisha To Produce 10 Types Of Vaccines,https://swarajyamag.com/insta/covaxin-developer-bharat-biotech-to-invest-rs-300-crore-to-set-up-facility-in-odisha-to-produce-10-types-of-vaccines,,
Mercedes-AMG,Germany,Maharashtra,West,2020,November,20-Nov,Automobiles,"$54,861,800.00","4,000,000,000.00",Mercedes-Benz invests Rs 400 crore in India to localize models,https://timesofindia.indiatimes.com/auto/news/mercedes-benz-invests-rs-400-crore-in-india-to-localize-models/articleshow/79029000.cms,,
Variety,Variety,North-East India,Northeast,2020,November,20-Nov,Industry,"$150,869,950.00","11,000,000,000.00","Tyre Manufacturers To Invest Rs 1,100 Crore To Produce Natural Rubber In Northeast India",https://swarajyamag.com/insta/tyre-manufacturers-to-invest-rs-1100-crore-to-produce-natural-rubber-in-northeast-india,,
Pegatron,Taiwan,Tamil Nadu,South,2020,November,20-Nov,Technology/Electronics,"$150,869,950.00","11,000,000,000.00",iPhone Maker Pegatron Approves Rs 1110 Crore Initial Investment For A New Factory In India Under PLI Scheme,https://swarajyamag.com/insta/iphone-maker-pegatron-approves-rs-1110-crore-initial-investment-in-india-more-to-follow-in-next-two-years,,
Samsung,South Korea,Uttar Pradesh,North,2020,November,20-Nov,Technology/Electronics,"$685,772,500.00","50,000,000,000.00","Samsung to infuse Rs 5,000 crore to expand Noida manufacturing plant",https://www.business-standard.com/article/companies/samsung-to-infuse-rs-5-000-crore-to-expand-noida-manufacturing-plant-120112300028_1.html,,
Public Investment Fund of Saudi Arabia,Saudi Arabia,JIO/Reliance,,2020,November,20-Nov,JIO/Reliance,"$1,300,000,000.00","94,783,650,000.00",Saudi fund to invest $1.3 billion in RIL's retail arm; shares rise 2%,https://www.moneycontrol.com/news/business/stocks/saudi-fund-to-invest-1-3-billion-in-rils-retail-arm-shares-rise-2-6074131.html,,
Amazon,United States,Telangana,South,2020,November,20-Nov,Technology/Electronics,"$2,800,000,000.00","204,149,400,000.00",Amazon to invest $2.8 billion to build its second data center region in India,https://techcrunch.com/2020/11/06/amazon-to-invest-2-8-billion-to-build-its-second-data-center-region-in-india/,,
Adani,India,India,,2020,November,20-Nov,Infrastructure,"$6,857,725,000.00","500,000,000,000.00","Adani Enterprises to invest Rs 50,000 cr on capital expenditure in 5 years",https://energy.economictimes.indiatimes.com/news/power/adani-enterprises-to-invest-rs-50000-cr-on-capital-expenditure-in-5-years/79052988,,
Variety,Variety,Odisha,East,2020,November,20-Nov,State Investment,"$12,714,222,150.00","927,000,000,000.00","Odisha clears 5 mega investment proposals worth `92,713 crore",https://www.newindianexpress.com/states/odisha/2020/nov/06/odisha-clears-5-mega-investment-proposals-worth-92713-crore-2219955.html,"-Expansion project of Jindal Steel and Power Limited’s integrated steel plant in Angul from 6 million tonne per annum (MTPA) to 18.6 MTPA along with a 36 MTPA slurry pipeline and 12.5 MTPA cement plant with an investment of Rs 76,018 crore. It would create employment opportunities for over 24,350 persons in two phases.
 -HLCA cleared Essar Minmet Limited’s 14 MTPA beneficiation, 14 MTPA pellet plant and 14 MTPA slurry pipeline with an investment of Rs 6,650 crores to be set up in Keonjhar and Paradip respectively with employment opportunities for 1,468 persons. Similarly, expansion project of Arcelor Mittal Nippon Steel India Limited’s beneficiation plant in Keonjhar from 10.76 MTPA to 16.76 MTPA and pellet plant at Paradip from 6 MTPA to 12 MTPA with an investment of Rs 2000 crore was cleared. It would create employment opportunities for over 655 persons.
 -Shyam Metalics and Energy Limited’s expansion proposal for its steel plant at Pandloi in Sambalpur district from 0.77 MTPA to 2.373 MTPA and rolling mill with an investment of Rs 1,205 crore and employment opportunities for over 3,270 persons also got the go ahead.",
Variety,Variety,Karnataka,South,2020,November,20-Nov,State Investment,"$16,458,540,000.00","1,200,000,000,000.00",Karnataka attracts Rs 1.20 lakh crore investments during Covid-19,https://www.deccanherald.com/business/business-news/karnataka-attracts-rs-120-lakh-crore-investments-during-covid-19-917985.html,,
Inverted Energy,India,Delhi,Test,2020,November,20-Nov,Industry,,,Inverted Energy opens new lithium battery manufacturing plant in Okhla,https://auto.economictimes.indiatimes.com/news/auto-components/inverted-energy-opens-new-lithium-battery-manufacturing-plant-in-okhla/79045384,,
Snam,Italy,India,Test,2020,November,20-Nov,Industry,,,"Italy's Snam takes first steps into India with hydrogen, gas deals",https://economictimes.indiatimes.com/industry/energy/oil-gas/italys-snam-takes-first-steps-into-india-with-hydrogen-gas-deals/articleshow/79085433.cms,,
Toyota-Tsusho & Sumida,Japan,India,Test,2020,November,20-Nov,Industry,,,Japan to offer aid to 2 companies moving from China to India,https://timesofindia.indiatimes.com/business/india-business/japan-to-offer-aid-to-2-companies-moving-manufacturing-base-from-china-to-india/articleshow/79071600.cms?from=mdr,,
